STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/1/2019,,,0.06,",,W,2400",0,",,W,2400",0,",,W,2400",,,58,",,W",39,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/2/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,40,",,W",35,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/3/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,44,",,W",37,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/4/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,47,",,W",35,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/5/2019,,,0.5,",,W,2400",0,",,W,2400",0,",,W,2400",,,47,",,W",41,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/6/2019,,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,49,",,W",31,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/7/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,34,",,W",25,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/8/2019,,,0.17,",,W,2400",0,"T,,W,2400",0,",,W,2400",,,45,",,W",34,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/9/2019,,,0.06,",,W,2400",0,",,W,2400",0,",,W,2400",,,45,",,W",34,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/10/2019,,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,34,",,W",28,",,W"
